alpha,beta,theta,delta,gamma,state
28.345074640502485,3.883815831684713,10.568539293428572,6.562182462086195,2.994836483272087,0
17.75102802969241,5.3357439376303555,10.752565787678083,4.319497205746972,6.654811045468952,0
14.045792136547407,22.280926849763617,8.09209193543323,1.5605199344188585,8.07026600248588,1
11.603300263564389,31.97514936972511,15.18394943566316,9.065708843732818,23.653474101046072,2
21.247853554167104,7.938386358580363,14.997937479336167,4.578065969047857,7.203756973743973,0
4.648896620257593,26.103147682923222,14.387926752417,6.472369649227994,13.123522711690715,2
9.456984300795396,37.20903545628591,17.151586056607037,3.3637764559316876,13.930280593839816,2
13.599682918768305,29.686419239466748,4.042985158971236,4.410071715685221,8.608873227570463,1
11.865816273174463,34.4823024477195,6.440978310620769,2.921683539627671,13.846893659569858,1
22.08187806635908,9.477333818683077,10.65351849509329,2.4998993236403217,6.59871462980165,0
16.517969095806265,33.09905028754757,5.936561195865319,0.1,8.241577925042204,1
23.636113860228424,8.230235418059685,12.060532685570001,6.1759014504847665,2.6808243239230847,0
22.264384358952512,15.365862630845259,5.080271973135207,0.1,5.751960087323396,1
32.051717202125886,10.905609499582223,13.615782813141672,5.453386886049564,0.1,0
18.55564314399127,6.765071920393481,11.779051315793453,6.056613069508695,2.829231258541242,0
11.648532159909285,13.975597085884255,4.220184756126568,4.705056785937295,12.595809071866242,1
4.33465194993406,29.4056749471295,12.794926558940578,10.588178939637098,23.72977401144167,2
7.99365433479487,43.512864148646216,16.580305866549427,7.157379031851743,20.046758600560597,2
7.404199587443809,39.28128816451101,16.50094678722276,8.817739117081471,24.834918576267693,2
18.812172810671097,11.352006958689989,8.246456686900885,3.200182030134534,9.698822858923576,1
5.7685903157089795,42.03241218898467,6.404905651462582,10.03398333354374,20.48296379011466,2
13.259721970265577,12.08457284917746,2.069084197933859,0.1,8.884614922772434,1
3.868118372636503,38.687766100121024,15.311074863128132,6.1746224080928265,23.090150279681005,2
17.44711970428919,24.648255009187753,4.355732094091402,0.1,9.434689231381792,1
13.899509433674895,24.20752546908299,3.2782076805466085,0.1,7.27434678306803,1
22.433616990838374,28.325831196693006,6.424243650431593,3.0206758809128313,11.458508641274936,1
24.29598733198126,16.063192553017508,4.546457709600656,6.8839078577837665,2.0509236250072185,0
25.371926871680074,3.673872870711712,13.183560596613546,0.1,1.8079436177784347,0
30.813730868550255,1.7568083764297473,5.7816305804609,11.32826749239985,5.402959043180016,0
4.04510849247502,39.37136632731266,13.000972442559444,8.057068607474601,22.173293288841915,2
